x,y,theta,kappa,arc_length
-2.883699999999999974e+01,3.996900000000000119e+01,-3.028428857893548987e+00,-1.063063711753353402e-01,8.794100295084209540e-01
-2.969800000000000040e+01,3.978999999999999915e+01,-2.845046844520085827e+00,6.305095546794745043e-03,8.971092464131666944e-01
-3.052899999999999991e+01,3.945199999999999818e+01,-2.669398244156379718e+00,5.613838955957253796e-03,9.407576733675886427e-01
-3.132900000000000063e+01,3.895700000000000074e+01,-2.511056449117730516e+00,4.656022930769408708e-03,1.008315922714700719e+00
-3.209899999999999665e+01,3.830599999999999739e+01,-2.374091937310538025e+00,3.692427395523681377e-03,1.089944035260525856e+00
-3.283599999999999852e+01,3.750300000000000011e+01,-2.258321835026951607e+00,2.859243300472984195e-03,1.185425661945954001e+00
-3.354099999999999682e+01,3.654999999999999716e+01,-2.161718630075163183e+00,2.195479239632799895e-03,1.286796409693470755e+00
-3.421200000000000330e+01,3.545199999999999818e+01,-2.081193474386619169e+00,1.695989122657955150e-03,1.394504930073746651e+00
-3.485000000000000142e+01,3.421200000000000330e+01,-2.013433430943292635e+00,1.327345616480200829e-03,1.501925430905279413e+00
-3.545199999999999818e+01,3.283599999999999852e+01,-1.956018242285054054e+00,1.048592166083120447e-03,1.610136019099005722e+00
-3.601899999999999835e+01,3.132900000000000063e+01,-1.907385974561015551e+00,8.401102773909936705e-04,1.715261496099063976e+00
-3.654999999999999716e+01,2.969800000000000040e+01,-1.865342709794325593e+00,6.866427843722280877e-04,1.819622488320038478e+00
-3.704500000000000171e+01,2.794699999999999918e+01,-1.828760429726351999e+00,5.712966550318245712e-04,1.916529415375616052e+00
-3.750300000000000011e+01,2.608599999999999852e+01,-1.796316183468297245e+00,4.827665282809284752e-04,2.010362156428535663e+00
-3.792300000000000182e+01,2.412000000000000099e+01,-1.767571154260193511e+00,4.106459279850354499e-04,2.097267984784014327e+00
-3.830599999999999739e+01,2.205799999999999983e+01,-1.741984786118022432e+00,3.575583621743781693e-04,2.176516942272678001e+00
-3.865100000000000335e+01,1.990899999999999892e+01,-1.718412717062265171e+00,3.189713103798723359e-04,2.249905998036361154e+00
-3.895700000000000074e+01,1.767999999999999972e+01,-1.696645682408347788e+00,2.857829577343519445e-04,2.315445745423544199e+00
-3.922399999999999665e+01,1.538000000000000078e+01,-1.676600132114729913e+00,2.594798594931814473e-04,2.371983347327717428e+00
-3.945199999999999818e+01,1.301900000000000013e+01,-1.657733560695677344e+00,2.383377338140927476e-04,2.419315605703399097e+00
-3.964000000000000057e+01,1.060699999999999932e+01,-1.640132300472427085e+00,2.223049076433784160e-04,2.459578215873607920e+00
-3.978999999999999915e+01,8.151999999999999247e+00,-1.623145783245289131e+00,2.128608601019467417e-04,2.490386516185790544e+00
-3.989900000000000091e+01,5.663999999999999702e+00,-1.606595351693868468e+00,2.044339215892792411e-04,2.510975905897943505e+00
